Item,Title,csv
starsCYG,Hertzsprung-Russell Diagram Data of Star Cluster CYG OB1,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/starsCYG.csv
telef,Number of International Calls from Belgium,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/telef.csv
toxicity,Toxicity of Carboxylic Acids Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/toxicity.csv
vaso,Vaso Constriction Skin Data Set,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/vaso.csv
wagnerGrowth,Wagner's Hannover Employment Growth Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/wagnerGrowth.csv
wood,Modified Data on Wood Specific Gravity,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/robustbase/wood.csv
AMSsurvey,American Math Society Survey Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/AMSsurvey.csv
Adler,Experimenter Expectations,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Adler.csv
Angell,Moral Integration of American Cities,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Angell.csv
Anscombe,U. S. State Public-School Expenditures,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Anscombe.csv
Baumann,Methods of Teaching Reading Comprehension,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Baumann.csv
Bfox,Canadian Women's Labour-Force Participation,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Bfox.csv
Blackmoor,Exercise Histories of Eating-Disordered and Control Subjects,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Blackmoor.csv
Burt,Fraudulent Data on IQs of Twins Raised Apart,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Burt.csv
CanPop,Canadian Population Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/CanPop.csv
Chile,Voting Intentions in the 1988 Chilean Plebiscite,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Chile.csv
Chirot,The 1907 Romanian Peasant Rebellion,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Chirot.csv
Cowles,Cowles and Davis's Data on Volunteering,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Cowles.csv
Davis,Self-Reports of Height and Weight,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Davis.csv
DavisThin,Davis's Data on Drive for Thinness,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/DavisThin.csv
Depredations,Minnesota Wolf Depredation Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Depredations.csv
Duncan,Duncan's Occupational Prestige Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Duncan.csv
Ericksen,The 1980 U.S. Census Undercount,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Ericksen.csv
Florida,Florida County Voting,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Florida.csv
Freedman,Crowding and Crime in U. S. Metropolitan Areas,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Freedman.csv
Friendly,Format Effects on Recall,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Friendly.csv
Ginzberg,Data on Depression,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Ginzberg.csv
Greene,Refugee Appeals,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Greene.csv
Guyer,Anonymity and Cooperation,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Guyer.csv
Hartnagel,Canadian Crime-Rates Time Series,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Hartnagel.csv
Highway1,Highway Accidents,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Highway1.csv
Leinhardt,Data on Infant-Mortality,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Leinhardt.csv
Mandel,Contrived Collinear Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Mandel.csv
Migration,Canadian Interprovincial Migration Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Migration.csv
Moore,"Status, Authoritarianism, and Conformity",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Moore.csv
Mroz,U.S. Women's Labor-Force Participation,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Mroz.csv
OBrienKaiser,O'Brien and Kaiser's Repeated-Measures Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/OBrienKaiser.csv
Ornstein,Interlocking Directorates Among Major Canadian Firms,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Ornstein.csv
Pottery,Chemical Composition of Pottery,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Pottery.csv
Prestige,Prestige of Canadian Occupations,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Prestige.csv
Quartet,Four Regression Datasets,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Quartet.csv
Robey,Fertility and Contraception,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Robey.csv
SLID,Survey of Labour and Income Dynamics,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/SLID.csv
Sahlins,Agricultural Production in Mazulu Village,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Sahlins.csv
Salaries,Salaries for Professors,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Salaries.csv
Soils,Soil Compositions of Physical and Chemical Characteristics,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/car/Soils.csv
